Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-02-26 04:31:25,32.3182,-86.9023,1277837,18186,,,1.0,26061.36623439662,7226183.0,,1.4231862123259853,84000001.0,USA,147377.32718630848,
Alaska,US,2022-02-26 04:31:25,61.3707,-152.4044,238683,1163,,,2.0,32627.247811139438,3741734.0,,0.4872571569822736,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-02-26 04:31:25,-14.270999999999999,-170.132,84,0,,,60.0,150.9678115059039,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-02-26 04:31:25,33.7298,-111.4312,1975252,27931,,,4.0,27137.365005398617,18226681.0,,1.4140474228098492,84000004.0,USA,250410.62868634678,
Arkansas,US,2022-02-26 04:31:25,34.9697,-92.3731,818121,10425,,,5.0,27109.81230060004,4950199.0,,1.2742613867630828,84000005.0,USA,164033.15125833222,
California,US,2022-02-26 04:31:25,36.1162,-119.6816,8957548,84980,,,6.0,22675.236470496737,146083339.0,,0.9484914877967384,84000006.0,USA,369716.8316750996,
Colorado,US,2022-02-26 04:31:25,39.0598,-105.3111,1311061,11752,,,8.0,22766.471670172064,16567821.0,,0.8963732427400403,84000008.0,USA,287698.9151786086,
Connecticut,US,2022-02-26 04:31:25,41.5978,-72.7554,722377,10465,,,9.0,20261.39831099152,13162188.0,,1.4486895346889506,84000009.0,USA,369176.1140127008,
Delaware,US,2022-02-26 04:31:25,39.3185,-75.5071,256337,2706,,,10.0,26324.34552930689,3111431.0,,1.055641596804207,84000010.0,USA,319526.1890971529,
Diamond Princess,US,2022-02-26 04:31:25,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-02-26 04:31:25,38.8974,-77.0268,134326,1317,,,11.0,19033.112338806008,3051706.0,,0.9804505456873576,84000011.0,USA,432406.70550011407,
Florida,US,2022-02-26 04:31:25,27.7663,-81.6868,5818706,69554,,,12.0,27091.802083245548,53951840.0,,1.1953516812844642,84000012.0,USA,251198.9042420996,
Georgia,US,2022-02-26 04:31:25,33.0406,-83.6431,2462663,35316,,,13.0,23194.545418412734,16615799.0,,1.4340573598580073,84000013.0,USA,156495.5921978431,
Grand Princess,US,2022-02-26 04:31:25,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-02-26 04:31:25,13.4443,144.7937,44111,322,,,66.0,26859.446261013585,359438.0,,0.7299766498152388,316.0,GUM,218863.9034518873,
Hawaii,US,2022-02-26 04:31:25,21.0943,-157.4983,235435,1321,,,15.0,16628.268657053744,3585095.0,,0.5610890479325504,84000015.0,USA,253207.563960584,
Idaho,US,2022-02-26 04:31:25,44.2405,-114.4788,423638,4730,,,16.0,23705.796935198217,1189801.0,,1.1165192924147502,84000016.0,USA,66578.49602560622,
Illinois,US,2022-02-26 04:31:25,40.3495,-88.9861,3026737,35087,,,17.0,23885.572562933143,54187451.0,,1.1592351763631925,84000017.0,USA,427621.6575344617,
Indiana,US,2022-02-26 04:31:25,39.8494,-86.2583,1680331,22800,,,18.0,24959.54157165713,18894891.0,,1.3568755203587866,84000018.0,USA,280663.64151255327,
Iowa,US,2022-02-26 04:31:25,42.0115,-93.2105,748057,9085,,,19.0,23709.679975404662,1932853.0,,1.2144796452676734,84000019.0,USA,61261.81035603014,
Kansas,US,2022-02-26 04:31:25,38.5266,-96.7265,766179,7934,,,20.0,26299.224868997982,2243917.0,,1.0355282512311093,84000020.0,USA,77022.83378997253,
Kentucky,US,2022-02-26 04:31:25,37.6681,-84.6701,1274681,13758,,,21.0,28531.206290164926,9496681.0,,1.079328867379368,84000021.0,USA,212564.37075855825,
Louisiana,US,2022-02-26 04:31:25,31.1695,-91.8678,1162537,16606,,,22.0,25007.28145837393,12597837.0,,1.4284276543456251,84000022.0,USA,270991.5087654992,
Maine,US,2022-02-26 04:31:25,44.6939,-69.3819,225253,2042,,,23.0,16757.252576230534,3783523.0,,0.9065362059550816,84000023.0,USA,281467.729792622,
Maryland,US,2022-02-26 04:31:25,39.0639,-76.8021,1000562,14091,,,24.0,16550.032419843592,18728946.0,,1.4083085306057996,84000024.0,USA,309790.5611941089,
Massachusetts,US,2022-02-26 04:31:25,42.2302,-71.5301,1669594,23370,,,25.0,24223.333671381788,40674488.0,,1.3997414940398685,84000025.0,USA,590126.5186246564,
Michigan,US,2022-02-26 04:31:25,43.3266,-84.5361,2357955,34477,,,26.0,23610.58138711709,22662521.0,,1.4621568265721785,84000026.0,USA,226923.4554975605,
Minnesota,US,2022-02-26 04:31:25,45.6945,-93.9002,1412497,12261,,,27.0,25045.90725068586,15808964.0,,0.8680372418490092,84000027.0,USA,280319.0704641721,
Mississippi,US,2022-02-26 04:31:25,32.7416,-89.6787,789056,12008,,,28.0,26512.651080305455,3484471.0,,1.5218184767621057,84000028.0,USA,117079.8572248903,
Missouri,US,2022-02-26 04:31:25,38.4561,-92.2884,1400323,19046,,,29.0,22816.121020075512,9587018.0,,1.3601147735201091,84000029.0,USA,156205.7917420783,
Montana,US,2022-02-26 04:31:25,46.9219,-110.4544,265797,3172,,,30.0,24869.24319175732,2690851.0,,1.1933919494952916,84000030.0,USA,251768.9361120832,
Nebraska,US,2022-02-26 04:31:25,41.1254,-98.2681,453569,3956,,,31.0,23447.431979189503,5179291.0,,0.8721936463911776,84000031.0,USA,267745.53248332307,
Nevada,US,2022-02-26 04:31:25,38.3135,-117.0554,681387,9663,,,32.0,22121.83408892277,5743787.0,,1.4181368297311219,84000032.0,USA,186477.1459627369,
New Hampshire,US,2022-02-26 04:31:25,43.4525,-71.5639,297729,2373,,,33.0,21896.49123968255,3544480.0,,0.7970335439275315,84000033.0,USA,260678.9236830473,
New Jersey,US,2022-02-26 04:31:25,40.2989,-74.521,2164368,32857,,,34.0,24367.503960171984,17614558.0,,1.5180874971354223,84000034.0,USA,198313.2313089452,
New Mexico,US,2022-02-26 04:31:25,34.8405,-106.2485,510783,6903,,,35.0,24359.78327274184,6556014.0,,1.3514545315721158,84000035.0,USA,312663.2643863663,
New York,US,2022-02-26 04:31:25,42.1657,-74.9481,4920073,67275,,,36.0,25291.374674282,100429866.0,,1.3673577607486718,84000036.0,USA,516254.4070980114,
North Carolina,US,2022-02-26 04:31:25,35.6301,-79.8064,2583404,22500,,,37.0,24631.80119457472,22125221.0,,0.8709439174050981,84000037.0,USA,210955.79516716304,
North Dakota,US,2022-02-26 04:31:25,47.5289,-99.78399999999999,237802,2234,,,38.0,31205.072553151847,2242431.0,,0.9394370106222824,84000038.0,USA,294258.34118483803,
Northern Mariana Islands,US,2022-02-26 04:31:25,15.0979,145.6739,9404,29,,,69.0,17053.532569273175,17542.0,,0.30837941301573807,580.0,MNP,31811.25779776585,
Ohio,US,2022-02-26 04:31:25,40.3888,-82.7649,2651304,36822,,,39.0,22681.8489019685,21548071.0,,1.3796984427285592,84000039.0,USA,184343.28562506952,
Oklahoma,US,2022-02-26 04:31:25,35.5653,-96.9289,1019489,14541,,,40.0,25764.37886454058,5478938.0,,1.4263027850226928,84000040.0,USA,138462.93035758918,
Oregon,US,2022-02-26 04:31:25,44.571999999999996,-122.0709,692261,6582,,,41.0,16413.090716656825,10391757.0,,0.9507974593397576,84000041.0,USA,246382.2898393143,
Pennsylvania,US,2022-02-26 04:31:25,40.5908,-77.2098,2753361,43148,,,42.0,21507.29078114346,24182128.0,,1.567102897150065,84000042.0,USA,188893.5227174465,
Puerto Rico,US,2022-02-26 04:31:25,18.2208,-66.5901,473161,4101,,,72.0,14815.476999361868,3824779.0,,0.8667240114886899,630.0,PRI,119760.34648278766,
Rhode Island,US,2022-02-26 04:31:25,41.6809,-71.5118,355509,3406,,,44.0,33558.81517254269,7443377.0,,0.9580629463670399,84000044.0,USA,702628.9432969497,
South Carolina,US,2022-02-26 04:31:25,33.8569,-80.945,1459070,16790,,,45.0,28338.532689910528,12566292.0,,1.1507330011582722,84000045.0,USA,244066.61546941625,
South Dakota,US,2022-02-26 04:31:25,44.2998,-99.4388,235787,2802,,,46.0,26652.86850639625,1275721.0,,1.1883606814625065,84000046.0,USA,144204.82920537743,
Tennessee,US,2022-02-26 04:31:25,35.7478,-86.6923,2002199,24374,,,47.0,29318.318730786475,12448698.0,,1.217361511018635,84000047.0,USA,182287.023291543,
Texas,US,2022-02-26 04:31:25,31.0545,-97.5635,6607532,84634,,,48.0,22787.82976106158,45763980.0,,1.2808715871523588,84000048.0,USA,157829.2447813536,
Utah,US,2022-02-26 04:31:25,40.15,-111.8624,921956,4408,,,49.0,28757.58197705647,5802032.0,,0.4781139230071717,84000049.0,USA,180976.54429658785,
Vermont,US,2022-02-26 04:31:25,44.0459,-72.7107,112023,595,,,50.0,17952.720320390265,3353190.0,,0.5311409264168965,84000050.0,USA,537379.6653466647,
Virgin Islands,US,2022-02-26 04:31:25,18.3358,-64.8963,15362,109,,,78.0,14321.139575642317,329855.0,,0.7095430282515297,850.0,VIR,307505.50024238357,
