Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2022-03-04 05:20:41,33.93911,67.709953,174214,7619,,,,,Afghanistan,447.52485085352083,,,4,AFG,9487,199
,Albania,2022-03-04 05:20:41,41.1533,20.1683,271825,3474,,,,,Albania,9445.58343178817,,,8,ALB,10585,112
,Algeria,2022-03-04 05:20:41,28.0339,1.6596,265130,6848,,,,,Algeria,604.6150373207771,,,12,DZA,9294,230
,Andorra,2022-03-04 05:20:41,42.5063,1.5218,38342,151,,,,,Andorra,49624.02122565197,,,20,AND,1872,4
,Angola,2022-03-04 05:20:41,-11.2027,17.8739,98746,1900,,,,,Angola,300.44786344467224,,,24,AGO,427,4
,Antarctica,2022-03-04 05:20:41,-71.9499,23.347,11,0,,,,,Antarctica,,,,10,ATA,0,0
,Antigua and Barbuda,2022-03-04 05:20:41,17.0608,-61.7964,7449,135,,,,,Antigua and Barbuda,7606.608937178334,,,28,ATG,717,8
,Argentina,2022-03-04 05:20:41,-38.4161,-63.6167,8921536,126531,,,,,Argentina,19739.75577408482,,,32,ARG,406251,4379
,Armenia,2022-03-04 05:20:41,40.0691,45.0382,420757,8505,,,,,Armenia,14199.249873617813,,,51,ARM,41491,440
Australian Capital Territory,Australia,2022-03-04 05:20:41,-35.4735,149.0124,52944,34,,,,,"Australian Capital Territory, Australia",12367.203924316751,,,3601,AUS,15069,7
New South Wales,Australia,2022-03-04 05:20:41,-33.8688,151.2093,1351710,1926,,,,,"New South Wales, Australia",16650.776053215082,,,3602,AUS,230445,408
Northern Territory,Australia,2022-03-04 05:20:41,-12.4634,130.8456,42658,27,,,,,"Northern Territory, Australia",17368.892508143326,,,3603,AUS,23509,23
Queensland,Australia,2022-03-04 05:20:41,-27.4698,153.0251,584481,577,,,,,"Queensland, Australia",11425.686638647248,,,3604,AUS,145765,330
South Australia,Australia,2022-03-04 05:20:41,-34.9285,138.6007,156703,188,,,,,"South Australia, Australia",8921.320808425848,,,3605,AUS,31864,63
Tasmania,Australia,2022-03-04 05:20:41,-42.8821,147.3272,48768,25,,,,,"Tasmania, Australia",9107.002801120449,,,3606,AUS,16231,6
Victoria,Australia,2022-03-04 05:20:41,-37.8136,144.9631,1067953,2566,,,,,"Victoria, Australia",16106.68335872336,,,3607,AUS,167003,442
Western Australia,Australia,2022-03-04 05:20:41,-31.9505,115.8605,16684,11,,,,,"Western Australia, Australia",634.2279327909982,,,3608,AUS,15118,2
,Austria,2022-03-04 05:20:41,47.5162,14.5501,2775589,14924,,,,,Austria,30817.962782021674,,,40,AUT,816572,757
,Azerbaijan,2022-03-04 05:20:41,40.1431,47.5769,787937,9473,,,,,Azerbaijan,7771.21412738216,,,31,AZE,111511,676
,Bahamas,2022-03-04 05:20:41,25.025885,-78.035889,33152,771,,,,,Bahamas,8430.30352347628,,,44,BHS,472,23
,Bahrain,2022-03-04 05:20:41,26.0275,50.55,521613,1456,,,,,Bahrain,30654.57283012348,,,48,BHR,122948,46
,Bangladesh,2022-03-04 05:20:41,23.685,90.3563,1945765,29058,,,,,Bangladesh,1181.4756753323925,,,50,BGD,109989,564
,Barbados,2022-03-04 05:20:41,13.1939,-59.5432,55705,316,,,,,Barbados,19384.349847409794,,,52,BRB,9199,33
,Belarus,2022-03-04 05:20:41,53.7098,27.9534,925515,6521,,,,,Belarus,9794.513277726515,,,112,BLR,172020,422
Antwerp,Belgium,2022-03-04 05:20:41,51.2195,4.4024,538399,0,,,,,"Antwerp, Belgium",28977.55957256944,,,5601,BEL,54951,0
Brussels,Belgium,2022-03-04 05:20:41,50.8503,4.3517,413012,0,,,,,"Brussels, Belgium",34174.401882599035,,,5602,BEL,24595,0
East Flanders,Belgium,2022-03-04 05:20:41,51.0362,3.7373,457521,0,,,,,"East Flanders, Belgium",30198.130244002885,,,5603,BEL,41106,0
Flemish Brabant,Belgium,2022-03-04 05:20:41,50.9167,4.5833,329209,0,,,,,"Flemish Brabant, Belgium",28722.40277444544,,,5604,BEL,30860,0
Hainaut,Belgium,2022-03-04 05:20:41,50.5257,4.0621,417646,0,,,,,"Hainaut, Belgium",31069.279987740294,,,5605,BEL,33053,0
Liege,Belgium,2022-03-04 05:20:41,50.4496,5.8492,346654,0,,,,,"Liege, Belgium",31314.950785552202,,,5606,BEL,22804,0
Limburg,Belgium,2022-03-04 05:20:41,50.9739,5.3420000000000005,253232,0,,,,,"Limburg, Belgium",28972.3218862122,,,5607,BEL,27919,0
Luxembourg,Belgium,2022-03-04 05:20:41,50.0547,5.4677,94248,0,,,,,"Luxembourg, Belgium",33111.531137796075,,,5608,BEL,9719,0
Namur,Belgium,2022-03-04 05:20:41,50.331,4.8221,161935,0,,,,,"Namur, Belgium",32758.812522126133,,,5609,BEL,13525,0
Unknown,Belgium,2022-03-04 05:20:41,,,52790,30217,,,,,"Unknown, Belgium",,,,5610,BEL,4134,1032
Walloon Brabant,Belgium,2022-03-04 05:20:41,50.4,4.35,135872,0,,,,,"Walloon Brabant, Belgium",33665.098278241516,,,5611,BEL,10783,0
West Flanders,Belgium,2022-03-04 05:20:41,51.0536,3.1458,371061,0,,,,,"West Flanders, Belgium",31030.460045024403,,,5612,BEL,30474,0
,Belize,2022-03-04 05:20:41,17.1899,-88.4976,56842,651,,,,,Belize,14295.522620787131,,,84,BLZ,3644,22
,Benin,2022-03-04 05:20:41,9.3077,2.3158,26575,163,,,,,Benin,219.20783608417514,,,204,BEN,77,0
,Bhutan,2022-03-04 05:20:41,27.5142,90.4336,13846,6,,,,,Bhutan,1794.4251774207764,,,64,BTN,8314,2
,Bolivia,2022-03-04 05:20:41,-16.2902,-63.5887,894200,21453,,,,,Bolivia,7660.3938874819905,,,68,BOL,27129,380
,Bosnia and Herzegovina,2022-03-04 05:20:41,43.9159,17.6791,371846,15505,,,,,Bosnia and Herzegovina,11333.952082028398,,,70,BIH,18709,902
,Botswana,2022-03-04 05:20:41,-22.3285,24.6849,263950,2619,,,,,Botswana,11224.153510870145,,,72,BWA,7909,34
Acre,Brazil,2022-03-04 05:20:41,-9.0238,-70.812,121904,1976,,,,,"Acre, Brazil",13822.333845464802,,,7601,BRA,16890,95
Alagoas,Brazil,2022-03-04 05:20:41,-9.5713,-36.782,292527,6716,,,,,"Alagoas, Brazil",8765.229491480834,,,7602,BRA,29792,260
Amapa,Brazil,2022-03-04 05:20:41,0.902,-52.003,160123,2102,,,,,"Amapa, Brazil",18933.08865348438,,,7603,BRA,4835,47
Amazonas,Brazil,2022-03-04 05:20:41,-3.4168,-65.8561,573761,14122,,,,,"Amazonas, Brazil",13843.58961800146,,,7604,BRA,32093,131
Bahia,Brazil,2022-03-04 05:20:41,-12.5797,-41.7007,1505246,29303,,,,,"Bahia, Brazil",10120.618051532625,,,7605,BRA,115682,1226
Ceara,Brazil,2022-03-04 05:20:41,-5.4984,-39.3206,1228302,26354,,,,,"Ceara, Brazil",13450.410738935869,,,7606,BRA,68122,904
Distrito Federal,Brazil,2022-03-04 05:20:41,-15.7998,-47.8645,683663,11447,,,,,"Distrito Federal, Brazil",22673.374307026766,,,7607,BRA,58632,239
Espirito Santo,Brazil,2022-03-04 05:20:41,-19.1834,-40.3089,1025080,14161,,,,,"Espirito Santo, Brazil",25508.068630012567,,,7608,BRA,127150,550
Goias,Brazil,2022-03-04 05:20:41,-15.827,-49.8362,1173646,25777,,,,,"Goias, Brazil",16722.524968105055,,,7609,BRA,114591,660
Maranhao,Brazil,2022-03-04 05:20:41,-4.9609,-45.2744,413530,10818,,,,,"Maranhao, Brazil",5844.797468785604,,,7610,BRA,22765,308
Mato Grosso,Brazil,2022-03-04 05:20:41,-12.6819,-56.9211,710157,14754,,,,,"Mato Grosso, Brazil",20380.65517069186,,,7611,BRA,63366,364
Mato Grosso do Sul,Brazil,2022-03-04 05:20:41,-20.7722,-54.7852,503771,10359,,,,,"Mato Grosso do Sul, Brazil",18127.87110118583,,,7612,BRA,69984,429
Minas Gerais,Brazil,2022-03-04 05:20:41,-18.5122,-44.555,3214034,59722,,,,,"Minas Gerais, Brazil",15182.888810230117,,,7613,BRA,408263,2147
