Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2022-01-11 08:21:10,33.93911,67.709953,158452,7374,,,407.03506989933123,,,4.6537752757933,4,AFG,746,45
Albania,2022-01-11 08:21:10,41.1533,20.1683,220487,3241,,,7661.651261380221,,,1.4699279322590448,8,ALB,16562,101
Algeria,2022-01-11 08:21:10,28.0339,1.6596,222639,6349,,,507.7165439371647,,,2.8517016335862087,12,DZA,9581,198
Andorra,2022-01-11 08:21:10,42.5063,1.5218,27983,141,,,36216.91580922798,,,0.5038773541078512,20,AND,8543,8
Angola,2022-01-11 08:21:10,-11.2027,17.8739,90316,1832,,,274.7984651010574,,,2.028433500155012,24,AGO,24912,95
Antigua and Barbuda,2022-01-11 08:21:10,17.0608,-61.7964,5058,120,,,5165.0191977779605,,,2.372479240806643,28,ATG,896,3
Argentina,2022-01-11 08:21:10,-38.4161,-63.6167,6399196,117543,,,14158.836123118315,,,1.836840128041085,32,ARG,1037229,751
Armenia,2022-01-11 08:21:10,40.0691,45.0382,345981,8004,,,11675.790707045071,,,2.313421835303094,51,ARM,3377,185
Australia,2022-01-11 08:21:10,-25.0,133.0,1140897,2416,,,4481.187916589748,,,0.21176320035901572,36,AUS,906359,302
Austria,2022-01-11 08:21:10,47.5162,14.5501,1350225,13855,,,14991.839136613964,,,1.0261252754170602,40,AUT,118021,637
Azerbaijan,2022-01-11 08:21:10,40.1431,47.5769,621563,8457,,,6130.311391212796,,,1.3606022237488395,31,AZE,16565,353
Bahamas,2022-01-11 08:21:10,25.025885,-78.035889,28968,717,,,7366.343884775002,,,2.4751449875724942,44,BHS,6061,9
Bahrain,2022-01-11 08:21:10,26.0275,50.55,294466,1397,,,17305.41501648759,,,0.4744180992033036,48,BHR,16401,3
Bangladesh,2022-01-11 08:21:10,23.685,90.3563,1595931,28105,,,969.0551818996128,,,1.7610410475139588,50,BGD,16221,74
Barbados,2022-01-11 08:21:10,13.1939,-59.5432,32228,266,,,11214.771149489685,,,0.8253692441355344,52,BRB,5414,13
Belarus,2022-01-11 08:21:10,53.7098,27.9534,708931,5724,,,7502.4544091580765,,,0.8074128511801572,112,BLR,33197,438
Belgium,2022-01-11 08:21:10,50.8333,4.469936,2286532,28518,,,19895.61842225821,,,1.2472163083656822,56,BEL,327339,887
Belize,2022-01-11 08:21:10,17.1899,-88.4976,36983,607,,,9301.068102539855,,,1.6412946488927345,84,BLZ,5950,21
Benin,2022-01-11 08:21:10,9.3077,2.3158,25522,161,,,210.52200912663474,,,0.6308283049917718,204,BEN,625,0
Bhutan,2022-01-11 08:21:10,27.5142,90.4336,2802,3,,,363.13587658045753,,,0.10706638115631692,64,BTN,153,0
Bolivia,2022-01-11 08:21:10,-16.2902,-63.5887,686023,19999,,,5876.992167157298,,,2.915208382226252,68,BOL,132915,682
Bosnia and Herzegovina,2022-01-11 08:21:10,43.9159,17.6791,302587,13645,,,9222.92174353019,,,4.509446869825868,70,BIH,20684,646
Botswana,2022-01-11 08:21:10,-22.3285,24.6849,232432,2497,,,9883.88880029767,,,1.0742926963585049,72,BWA,36342,76
