Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,2/27/22,173395,7593,,,249,,445.42098518917106,,,,,4,AFG,2022/02/27,8,5535254,122945
Afghanistan,2/28/22,173659,7598,,,264,,446.09915434104937,,,,,4,AFG,2022/02/28,5,5535254,0
Afghanistan,3/1/22,173879,7609,,,220,,446.66429530094797,,,,,4,AFG,2022/03/01,11,5535254,0
Afghanistan,3/2/22,174073,7617,,,194,,447.16264687467674,,,,,4,AFG,2022/03/02,8,5535254,0
Afghanistan,3/3/22,174214,7619,,,141,,447.52485085352083,,,,,4,AFG,2022/03/03,2,5535254,0
Afghanistan,3/5/22,174331,7622,,,117,,447.82540309128507,,,,,4,AFG,2022/03/05,3,5535254,0
Afghanistan,3/6/22,174582,7623,,,251,,448.4701775500785,,,,,4,AFG,2022/03/06,1,5597130,61876
Afghanistan,3/7/22,175000,7626,,,418,,449.54394537388583,,,,,4,AFG,2022/03/07,3,5597130,0
Afghanistan,3/8/22,175353,7630,,,353,,450.4507397322686,,,,,4,AFG,2022/03/08,4,5597130,0
Afghanistan,3/9/22,175525,7636,,,172,,450.89257721000746,,,,,4,AFG,2022/03/09,6,5597130,0
Afghanistan,3/10/22,175893,7639,,,368,,451.83790390656515,,,,,4,AFG,2022/03/10,3,5597130,0
Afghanistan,3/11/22,175974,7640,,,81,,452.0459785327096,,,,,4,AFG,2022/03/11,1,5597130,0
Afghanistan,3/12/22,176039,7641,,,65,,452.2129519981342,,,,,4,AFG,2022/03/12,1,5597130,0
Afghanistan,3/13/22,176201,7643,,,162,,452.62910125042316,,,,,4,AFG,2022/03/13,2,5597130,0
Afghanistan,3/14/22,176409,7645,,,208,,453.16341633978186,,,,,4,AFG,2022/03/14,2,5597130,0
Afghanistan,3/15/22,176571,7646,,,162,,453.5795655920708,,,,,4,AFG,2022/03/15,1,5597130,0
Afghanistan,3/16/22,176743,7651,,,172,,454.0214030698097,,,,,4,AFG,2022/03/16,5,5597130,0
Afghanistan,3/17/22,176918,7651,,,175,,454.47094701518364,,,,,4,AFG,2022/03/17,0,5597130,0
Afghanistan,3/18/22,176983,7651,,,65,,454.6379204806082,,,,,4,AFG,2022/03/18,0,5731146,134016
Afghanistan,3/19/22,177039,7652,,,56,,454.7817745431278,,,,,4,AFG,2022/03/19,1,5731146,0
Afghanistan,3/20/22,177093,7654,,,54,,454.9204909605575,,,,,4,AFG,2022/03/20,2,5731146,0
Afghanistan,3/21/22,177191,7654,,,98,,455.17223556996686,,,,,4,AFG,2022/03/21,0,5731146,0
Afghanistan,3/22/22,177255,7656,,,64,,455.3366402128465,,,,,4,AFG,2022/03/22,2,5731146,0
Afghanistan,3/23/22,177321,7657,,,66,,455.50618250081607,,,,,4,AFG,2022/03/23,1,5731146,0
